state,state_abbreviation,county,fips,Hillary Clinton,Donald Trump,population,education,income
Maryland,MD,Worcester,24047.0,3005,5808,51675,89.3,32887
Michigan,MI,Alcona,26001.0,463,1111,10454,86.9,22719
Michigan,MI,Alger,26003.0,384,517,9459,89.4,19717
Michigan,MI,Allegan,26005.0,3489,5327,113847,90.0,24140
Michigan,MI,Alpena,26007.0,1102,1885,28988,88.0,21948
Michigan,MI,Antrim,26009.0,867,1969,23267,90.7,24370
Michigan,MI,Arenac,26011.0,595,1141,15353,84.3,20039
Michigan,MI,Baraga,26013.0,270,468,8654,82.0,17701
Michigan,MI,Barry,26015.0,1736,3478,59281,91.1,25059
Michigan,MI,Bay,26017.0,5937,5738,106179,89.0,23799
Michigan,MI,Benzie,26019.0,853,1278,17519,90.3,24831
Michigan,MI,Berrien,26021.0,6646,7817,155233,87.4,24013
Michigan,MI,Branch,26023.0,1010,2455,43545,86.4,19947
Michigan,MI,Calhoun,26025.0,5230,5800,134878,88.8,22978
Michigan,MI,Cass,26027.0,1657,2859,51608,87.2,22743
Michigan,MI,Charlevoix,26029.0,1044,1886,26121,91.6,26947
Michigan,MI,Cheboygan,26031.0,1010,2089,25675,87.8,23412
Michigan,MI,Chippewa,26033.0,1230,1959,38321,89.8,20589
Michigan,MI,Clare,26035.0,1090,1996,30652,83.9,18148
Michigan,MI,Clinton,26037.0,3409,3777,77297,92.9,28449
Michigan,MI,Crawford,26039.0,494,1108,13745,85.4,21492
Michigan,MI,Delta,26041.0,1409,1954,36559,91.4,22471
Michigan,MI,Dickinson,26043.0,908,1708,25957,93.8,24611
Michigan,MI,Eaton,26045.0,5560,5386,108579,93.4,26582
Michigan,MI,Emmet,26047.0,1369,2244,33204,93.8,29718
Michigan,MI,Genesee,26049.0,31284,16756,412895,88.7,22380
Michigan,MI,Gladwin,26051.0,985,1774,25411,83.9,20368
Michigan,MI,Gogebic,26053.0,678,753,15737,91.7,20330
Michigan,MI,Grand Traverse,26055.0,4140,5891,90782,93.3,27660
Michigan,MI,Gratiot,26057.0,1185,1799,41665,87.7,18836
Michigan,MI,Hillsdale,26059.0,977,3060,45830,87.0,20379
Michigan,MI,Houghton,26061.0,1109,1375,36495,91.0,19783
Michigan,MI,Huron,26063.0,1050,2346,32065,86.9,22120
Michigan,MI,Ingham,26065.0,18287,8056,284582,91.1,24754
Michigan,MI,Ionia,26067.0,1491,2676,64294,87.9,20206
Michigan,MI,Iosco,26069.0,1077,1973,25420,87.4,22047
Michigan,MI,Iron,26071.0,527,868,11387,89.2,21499
Michigan,MI,Isabella,26073.0,2032,2180,70616,90.1,19061
Michigan,MI,Jackson,26075.0,5288,8113,159741,89.1,22613
Michigan,MI,Kalamazoo,26077.0,12593,8655,258818,92.6,25757
Michigan,MI,Kalkaska,26079.0,590,1724,17394,85.9,20258
Michigan,MI,Kent,26081.0,25899,22742,629237,89.4,25889
Michigan,MI,Keweenaw,26083.0,128,184,2217,92.8,24802
Michigan,MI,Lake,26085.0,548,803,11341,80.3,16202
Michigan,MI,Lapeer,26087.0,3319,7446,88153,90.2,23907
Michigan,MI,Leelanau,26089.0,1459,1613,21915,94.2,31462
Michigan,MI,Lenawee,26091.0,3455,5167,99047,89.1,22395
Michigan,MI,Livingston,26093.0,6705,15359,185596,94.4,32129
Michigan,MI,Luce,26095.0,167,407,6426,85.8,18768
Michigan,MI,Mackinac,26097.0,500,856,11042,88.3,22622
Michigan,MI,Macomb,26099.0,47597,60492,860112,88.2,26748
Michigan,MI,Manistee,26101.0,1120,1552,24420,88.8,22702
Michigan,MI,Marquette,26103.0,3188,2524,67676,93.5,23789
Michigan,MI,Mason,26105.0,1223,1785,28824,89.5,23183
Michigan,MI,Mecosta,26107.0,1173,2113,43186,89.8,19336
Michigan,MI,Menominee,26109.0,835,1304,23714,90.2,22331
Michigan,MI,Midland,26111.0,3097,3909,83427,92.2,29536
Michigan,MI,Missaukee,26113.0,399,1221,15037,86.0,20305
Michigan,MI,Monroe,26115.0,6716,8802,149824,89.3,25939
Michigan,MI,Montcalm,26117.0,1681,3051,62893,87.4,18969
Michigan,MI,Montmorency,26119.0,392,1046,9300,84.9,19661
Michigan,MI,Muskegon,26121.0,8220,5757,172344,88.0,20621
Michigan,MI,Newaygo,26123.0,1290,2660,47900,85.9,20623
Michigan,MI,Oakland,26125.0,92296,69399,1237868,92.7,36458
Michigan,MI,Oceana,26127.0,791,1339,26221,84.1,18986
Michigan,MI,Ogemaw,26129.0,862,1612,21039,85.1,19634
Michigan,MI,Ontonagon,26131.0,327,519,6172,88.6,21585
Michigan,MI,Osceola,26133.0,670,1812,23169,86.9,18099
Michigan,MI,Oscoda,26135.0,273,705,8371,82.6,18057
Michigan,MI,Otsego,26137.0,786,1933,24158,91.0,24312
Michigan,MI,Ottawa,26139.0,7686,11600,276292,90.9,25371
Michigan,MI,Presque Isle,26141.0,592,916,13004,86.8,22788
Michigan,MI,Roscommon,26143.0,1163,2257,23955,85.1,23023
Michigan,MI,Saginaw,26145.0,12348,9106,195012,87.0,22349
Michigan,MI,Sanilac,26151.0,1160,3279,41587,86.8,20713
Michigan,MI,Schoolcraft,26153.0,312,529,8171,89.9,20892
Michigan,MI,Shiawassee,26155.0,3031,3864,68933,90.6,22713
Michigan,MI,St. Clair,26147.0,3665,11995,160078,89.0,24357
Michigan,MI,St. Joseph,26149.0,1382,2528,60946,84.4,20570
Michigan,MI,Tuscola,26157.0,1984,3750,54000,86.8,20767
Michigan,MI,Van Buren,26159.0,2484,3287,75199,85.3,21732
Michigan,MI,Washtenaw,26161.0,30022,10206,356874,94.0,33231
Michigan,MI,Wayne,26163.0,163886,55795,1764804,84.1,22308
Michigan,MI,Wexford,26165.0,909,2578,32886,88.0,20573
Mississippi,MS,Adams,28001.0,3013,1434,31737,78.8,17544
Mississippi,MS,Alcorn,28003.0,809,2901,37380,78.5,19145
Mississippi,MS,Amite,28005.0,1212,1178,12629,74.7,16977
Mississippi,MS,Attala,28007.0,1519,1350,19163,73.2,18422
Mississippi,MS,Benton,28009.0,557,555,8296,73.0,18597
Mississippi,MS,Bolivar,28011.0,3029,1395,33768,73.8,16462
Mississippi,MS,Calhoun,28013.0,748,1323,14745,68.2,17034
Mississippi,MS,Carroll,28015.0,828,1133,10254,78.2,16897
Mississippi,MS,Chickasaw,28017.0,1398,1056,17313,72.0,16677
Mississippi,MS,Choctaw,28019.0,517,765,8294,78.3,17145
Mississippi,MS,Claiborne,28021.0,1411,134,9080,80.9,12177
Mississippi,MS,Clarke,28023.0,1044,1399,16299,77.0,18066
Mississippi,MS,Clay,28025.0,2372,1049,20225,79.1,18273
Mississippi,MS,Coahoma,28027.0,2301,598,24807,76.6,15742
Mississippi,MS,Copiah,28029.0,3373,2026,28797,79.6,18318
Mississippi,MS,Covington,28031.0,1356,1724,19442,76.5,17241
Mississippi,MS,DeSoto,28033.0,5420,10507,170913,88.6,25176
Mississippi,MS,Forrest,28035.0,3708,4267,76330,83.8,19736
Mississippi,MS,Franklin,28037.0,701,761,7833,81.1,24234
Mississippi,MS,George,28039.0,349,2245,23303,83.8,20217
Mississippi,MS,Greene,28041.0,374,1088,14326,75.7,14463
Mississippi,MS,Grenada,28043.0,1634,1727,21666,78.4,21084
Mississippi,MS,Hancock,28045.0,893,4147,45949,85.4,22621
Mississippi,MS,Harrison,28047.0,6886,12555,199058,85.6,22677
Mississippi,MS,Hinds,28049.0,31386,6976,243729,85.1,20448
Mississippi,MS,Holmes,28051.0,3301,413,18459,71.4,12113
Mississippi,MS,Humphreys,28053.0,2894,433,8741,64.1,12874
Mississippi,MS,Issaquena,28055.0,175,117,1397,56.4,13731
Mississippi,MS,Itawamba,28057.0,377,1905,23527,76.7,18106
Mississippi,MS,Jackson,28059.0,4811,9934,141137,86.3,23879
Mississippi,MS,Jasper,28061.0,1976,1286,16601,76.6,18075
Mississippi,MS,Jeff Davis,28065.0,1806,763,11822,78.0,16216
Mississippi,MS,Jefferson,28063.0,1550,116,7599,79.7,12723
Mississippi,MS,Jones,28067.0,2681,6388,68290,78.7,19519
Mississippi,MS,Kemper,28069.0,1008,484,10163,75.9,13795
Mississippi,MS,Lafayette,28071.0,2451,2521,52930,86.3,21388
Mississippi,MS,Lamar,28073.0,1464,5197,60099,90.3,26345
Mississippi,MS,Lauderdale,28075.0,3306,4740,79739,84.1,21346
Mississippi,MS,Lawrence,28077.0,1112,1201,12502,82.3,20655
Mississippi,MS,Leake,28079.0,1614,1413,23193,74.9,16780
Mississippi,MS,Lee,28081.0,3020,5369,85246,82.9,21799
Mississippi,MS,Leflore,28083.0,2094,766,31422,73.2,14307
Mississippi,MS,Lincoln,28085.0,1817,2950,34775,82.8,19566
Mississippi,MS,Lowndes,28087.0,4030,3342,59730,82.0,20951
Mississippi,MS,Madison,28089.0,7414,7540,101688,89.2,33170
Mississippi,MS,Marion,28091.0,1539,2454,25868,74.3,18126
Mississippi,MS,Marshall,28093.0,3361,1712,36234,73.9,17978
Mississippi,MS,Monroe,28095.0,1913,2602,36003,76.7,18167
Mississippi,MS,Montgomery,28097.0,953,698,10400,72.7,15523
Mississippi,MS,Neshoba,28099.0,929,2249,29465,77.2,18693
Mississippi,MS,Newton,28101.0,1000,1794,21832,83.3,18864
Mississippi,MS,Noxubee,28103.0,1397,229,11115,65.5,12780
Mississippi,MS,Oktibbeha,28105.0,2389,1548,49414,86.4,20202
Mississippi,MS,Panola,28107.0,3061,2272,34444,75.8,18073
Mississippi,MS,Pearl River,28109.0,974,4562,55224,83.2,20549
Mississippi,MS,Perry,28111.0,401,676,12227,80.0,17183
Mississippi,MS,Pike,28113.0,2870,2187,40058,78.2,18183
Mississippi,MS,Pontotoc,28115.0,733,2320,30950,76.4,18576
Mississippi,MS,Prentiss,28117.0,681,1597,25428,72.7,16589
Mississippi,MS,Quitman,28119.0,986,210,7678,68.0,13954
Mississippi,MS,Rankin,28121.0,4689,13729,148070,88.9,26897
Mississippi,MS,Scott,28123.0,2013,1823,28461,72.3,16789
Mississippi,MS,Sharkey,28125.0,645,232,4647,77.3,15744
Mississippi,MS,Simpson,28127.0,1855,2420,27463,78.3,18314
Mississippi,MS,Smith,28129.0,712,1820,16188,80.8,20334
Mississippi,MS,Stone,28131.0,544,1401,17875,84.5,18576
Mississippi,MS,Sunflower,28133.0,2332,897,27496,70.2,12588
Mississippi,MS,Tallahatchie,28135.0,1341,769,14761,65.7,12747
Mississippi,MS,Tate,28137.0,1435,1795,28204,79.9,20431
Mississippi,MS,Tippah,28139.0,575,1951,22039,75.8,18493
Mississippi,MS,Tishomingo,28141.0,361,1854,19420,76.8,18338
Mississippi,MS,Tunica,28143.0,904,150,10598,76.8,15549
Mississippi,MS,Union,28145.0,593,2169,28097,76.1,19273
Mississippi,MS,Walthall,28147.0,1111,1143,14859,74.8,16850
Mississippi,MS,Warren,28149.0,3463,2987,47983,83.4,22362
Mississippi,MS,Washington,28151.0,2982,1349,48958,75.5,16671
Mississippi,MS,Wayne,28153.0,1441,1735,20490,72.7,18928
Mississippi,MS,Webster,28155.0,397,1191,9972,81.3,18728
Mississippi,MS,Wilkinson,28157.0,1269,364,9191,71.9,18717
Mississippi,MS,Winston,28159.0,1442,1156,18478,79.5,18501
Mississippi,MS,Yalobusha,28161.0,1214,1029,12276,77.5,18750
Mississippi,MS,Yazoo,28163.0,2203,1510,27817,74.1,14291
Missouri,MO,Adair,29001.0,799,1404,25602,86.7,19258
Missouri,MO,Andrew,29003.0,498,1457,17379,90.3,25302
Missouri,MO,Atchison,29005.0,141,487,5382,89.3,24748
Missouri,MO,Audrain,29007.0,749,1611,25887,84.3,19687
Missouri,MO,Barry,29009.0,874,3030,35662,82.2,19489
Missouri,MO,Barton,29011.0,205,986,12057,85.8,20678
Missouri,MO,Bates,29013.0,518,1306,16584,83.9,21047
Missouri,MO,Benton,29015.0,669,2278,18806,82.9,19717
Missouri,MO,Bollinger,29017.0,242,1272,12394,79.7,19470
Missouri,MO,Boone,29019.0,9628,7898,172717,93.0,26895
Missouri,MO,Buchanan,29021.0,3443,4691,89486,86.1,21961
Missouri,MO,Butler,29023.0,889,3652,42972,78.2,19246
Missouri,MO,Caldwell,29025.0,244,780,9034,86.9,21482
Missouri,MO,Callaway,29027.0,1378,3141,44750,86.0,23171
Missouri,MO,Camden,29029.0,1388,5467,44021,89.4,23038
Missouri,MO,Cape Girardeau,29031.0,2076,6137,78043,87.7,23751
Missouri,MO,Carroll,29033.0,233,1004,9043,83.9,24073
Missouri,MO,Carter,29035.0,138,623,6258,74.7,18245
Missouri,MO,Cass,29037.0,3765,6886,100889,92.0,27463
Missouri,MO,Cedar,29039.0,332,1355,13952,84.1,16362
Missouri,MO,Chariton,29041.0,321,597,7694,83.2,19481
Missouri,MO,Christian,29043.0,2146,6907,82101,91.6,25134
Missouri,MO,Clark,29045.0,202,545,6917,85.2,20279
Missouri,MO,Clay,29047.0,10630,12291,233682,91.8,29406
Missouri,MO,Clinton,29049.0,765,1635,20299,90.4,25100
Missouri,MO,Cole,29051.0,2798,5553,76557,90.4,26160
Missouri,MO,Cooper,29053.0,516,1248,17585,85.9,22910
Missouri,MO,Crawford,29055.0,522,2189,24650,78.1,18415
Missouri,MO,Dade,29057.0,201,787,7628,85.3,20034
Missouri,MO,Dallas,29059.0,397,1672,16389,76.9,18155
Missouri,MO,Daviess,29061.0,239,634,8297,84.2,19890
Missouri,MO,DeKalb,29063.0,221,800,12692,83.0,16635
Missouri,MO,Dent,29065.0,327,1688,15655,76.8,18544
Missouri,MO,Douglas,29067.0,268,1657,13546,81.7,16404
Missouri,MO,Dunklin,29069.0,724,1781,31344,72.3,17990
Missouri,MO,Franklin,29071.0,3701,9080,102084,85.4,24742
Missouri,MO,Gasconade,29073.0,401,1429,14866,84.2,21830
Missouri,MO,Gentry,29075.0,171,435,6826,85.7,20534
Missouri,MO,Greene,29077.0,10910,16649,285865,90.1,23520
Missouri,MO,Grundy,29079.0,219,978,10197,85.4,19527
Missouri,MO,Harrison,29081.0,158,755,8639,82.7,19468
Missouri,MO,Henry,29083.0,780,1636,22028,85.8,22394
Missouri,MO,Hickory,29085.0,73,297,9219,82.4,17361
Missouri,MO,Holt,29087.0,128,504,4516,89.7,24127
Missouri,MO,Howard,29089.0,413,693,10159,85.6,21598
Missouri,MO,Howell,29091.0,833,4230,40173,82.6,17416
Missouri,MO,Iron,29093.0,349,800,10267,77.3,19101
Missouri,MO,Jackson,29095.0,48860,26714,683191,88.3,26062
Missouri,MO,Jasper,29097.0,2289,6725,117543,84.3,21124
Missouri,MO,Jefferson,29099.0,9637,17781,222716,87.4,24792
Missouri,MO,Johnson,29101.0,1473,3035,54362,91.6,21547
Missouri,MO,Knox,29103.0,134,343,4000,85.0,20946
Missouri,MO,LaClede,29105.0,737,3493,35439,81.7,19553
Missouri,MO,Lafayette,29107.0,1173,2518,32688,86.9,23637
Missouri,MO,Lawrence,29109.0,872,3135,38023,84.5,19060
Missouri,MO,Lewis,29111.0,239,801,10138,87.4,19317
Missouri,MO,Lincoln,29113.0,1561,4144,54249,85.2,22063
Missouri,MO,Linn,29115.0,436,955,12311,87.5,21015
Missouri,MO,Livingston,29117.0,397,1191,15053,87.0,21011
Missouri,MO,Macon,29121.0,421,1489,15479,85.8,20054
Missouri,MO,Madison,29123.0,346,916,12368,75.0,17316
Missouri,MO,Maries,29125.0,305,958,9013,82.7,22026
Missouri,MO,Marion,29127.0,925,2064,28920,84.1,21909
Missouri,MO,McDonald,29119.0,364,1580,22800,78.5,17505
Missouri,MO,Mercer,29129.0,69,455,3719,87.7,20178
Missouri,MO,Miller,29131.0,432,2482,25141,84.8,19385
Missouri,MO,Mississippi,29133.0,486,970,14232,71.6,15558
Missouri,MO,Moniteau,29135.0,340,1144,15856,82.3,19451
Missouri,MO,Monroe,29137.0,252,698,8707,87.6,20331
Missouri,MO,Montgomery,29139.0,330,1192,11841,80.8,20991
Missouri,MO,Morgan,29141.0,554,1976,20240,79.2,17935
Missouri,MO,New Madrid,29143.0,691,1376,18272,76.9,21215
Missouri,MO,Newton,29145.0,1240,4303,58598,85.4,22341
Missouri,MO,Nodaway,29147.0,616,1268,23081,91.1,18079
Missouri,MO,Oregon,29149.0,319,941,10911,79.8,16331
Missouri,MO,Osage,29151.0,314,1316,13703,88.6,22629
Missouri,MO,Ozark,29153.0,217,1099,9492,82.8,17215
Missouri,MO,Pemiscot,29155.0,602,1155,17650,72.5,16881
Missouri,MO,Perry,29157.0,436,1561,19202,82.8,23435
Missouri,MO,Pettis,29159.0,1265,3343,42225,81.8,19709
Missouri,MO,Phelps,29161.0,1137,3425,44847,86.8,21173
Missouri,MO,Pike,29163.0,661,1241,18541,78.9,18650
Missouri,MO,Platte,29165.0,4645,5492,94788,94.2,35143
Missouri,MO,Polk,29167.0,744,2240,31054,83.7,19511
Missouri,MO,Pulaski,29169.0,860,2802,53436,90.1,20863
Missouri,MO,Putnam,29171.0,102,565,4829,84.7,19397
Missouri,MO,Ralls,29173.0,415,961,10255,89.6,23299
Missouri,MO,Randolph,29175.0,647,1887,25072,84.6,17587
Missouri,MO,Ray,29177.0,942,1565,22949,88.3,24549
Missouri,MO,Reynolds,29179.0,230,647,6565,77.1,18449
Missouri,MO,Ripley,29181.0,259,1096,13969,75.2,16408
Missouri,MO,Saline,29195.0,910,1417,23347,82.8,19006
Missouri,MO,Schuyler,29197.0,124,428,4370,85.9,18160
Missouri,MO,Scotland,29199.0,108,395,4863,78.7,20363
Missouri,MO,Scott,29201.0,1067,3373,38903,80.3,20825
Missouri,MO,Shannon,29203.0,317,808,8329,81.0,16862
Missouri,MO,Shelby,29205.0,240,579,6108,89.5,19331
Missouri,MO,St. Charles,29183.0,17805,30489,379493,93.6,31586
Missouri,MO,St. Clair,29185.0,340,962,9457,81.3,17337
Missouri,MO,St. Francois,29187.0,1939,4061,65960,79.5,18544
Missouri,MO,St. Louis City,29510.0,34458,5006,317419,82.9,23048
Missouri,MO,St. Louis County,29189.0,89373,47878,1001876,92.1,34795
Missouri,MO,Ste. Genevieve,29186.0,842,1080,17914,82.1,22921
Missouri,MO,Stoddard,29207.0,674,3024,29867,79.8,22967
Missouri,MO,Stone,29209.0,806,3928,31104,84.9,21733
Missouri,MO,Sullivan,29211.0,177,510,6411,82.1,19279
Missouri,MO,Taney,29213.0,1199,5086,54230,84.7,20231
Missouri,MO,Texas,29215.0,603,2659,25642,82.9,17868
Missouri,MO,Vernon,29217.0,490,1530,21001,84.9,19734
Missouri,MO,Warren,29219.0,986,2722,33253,84.3,24692
Missouri,MO,Washington,29221.0,754,1666,25077,71.6,17703
Missouri,MO,Wayne,29223.0,393,1376,13452,77.1,18970
Missouri,MO,Webster,29225.0,940,3041,36888,84.7,19955
Missouri,MO,Worth,29227.0,59,224,2073,92.9,22967
Missouri,MO,Wright,29229.0,402,1874,18291,76.5,14752
Montana,MT,Beaverhead,30001.0,241,1626,9345,93.1,22872
Montana,MT,Big Horn,30003.0,512,1087,13282,84.5,15695
Montana,MT,Blaine,30005.0,280,465,6619,87.4,17437
Montana,MT,Broadwater,30007.0,188,1001,5667,89.4,24270
Montana,MT,Carbon,30009.0,614,1507,10399,92.8,27599
Montana,MT,Carter,30011.0,21,349,1169,92.8,24921
Montana,MT,Cascade,30013.0,4833,8129,82344,90.8,24727
Montana,MT,Chouteau,30015.0,276,865,5894,91.1,21737
Montana,MT,Custer,30017.0,476,1363,12092,90.9,23910
Montana,MT,Daniels,30019.0,65,340,1793,94.4,31449
Montana,MT,Dawson,30021.0,228,1685,9518,89.3,26126
Montana,MT,Deer Lodge,30023.0,986,737,9150,89.1,22052
Montana,MT,Fallon,30025.0,34,734,3108,92.7,28563
Montana,MT,Fergus,30027.0,415,1975,11442,92.3,24429
Montana,MT,Flathead,30029.0,3021,10642,94924,93.8,25790
Montana,MT,Gallatin,30031.0,5951,8313,97308,96.1,28939
Montana,MT,Garfield,30033.0,9,357,1309,91.7,25921
Montana,MT,Glacier,30035.0,928,427,13696,83.5,15604
Montana,MT,Golden Valley,30037.0,27,203,852,88.6,23508
Montana,MT,Granite,30039.0,137,487,3209,88.2,26277
Montana,MT,Hill,30041.0,867,1342,16596,91.6,21376
Montana,MT,Jefferson,30043.0,716,1648,11558,94.3,30397
Montana,MT,Judith Basin,30045.0,69,421,1991,93.4,24260
Montana,MT,Lake,30047.0,1338,2927,29099,90.2,21521
Montana,MT,Lewis and Clark,30049.0,5362,6194,65856,94.7,28400
Montana,MT,Liberty,30051.0,78,387,2359,75.5,25522
Montana,MT,Lincoln,30053.0,668,3073,19125,86.8,21719
Montana,MT,Madison,30057.0,311,1412,7820,94.8,33062
Montana,MT,McCone,30055.0,65,410,1694,94.4,27161
Montana,MT,Meagher,30059.0,56,394,1853,89.8,20288
Montana,MT,Mineral,30061.0,173,638,4257,89.2,19859
Montana,MT,Missoula,30063.0,8115,7623,112684,94.5,25764
Montana,MT,Musselshell,30065.0,92,1032,4589,89.3,23022
Montana,MT,Park,30067.0,910,1901,15880,93.2,24611
Montana,MT,Petroleum,30069.0,16,167,485,96.0,22714
Montana,MT,Phillips,30071.0,80,1097,4192,91.8,22890
Montana,MT,Pondera,30073.0,256,930,6219,87.0,22256
Montana,MT,Powder River,30075.0,24,516,1783,93.1,28528
Montana,MT,Powell,30077.0,205,818,6909,90.3,19736
Montana,MT,Prairie,30079.0,48,269,1148,86.8,20644
Montana,MT,Ravalli,30081.0,1855,6281,41030,92.1,22872
Montana,MT,Richland,30083.0,217,1435,11576,90.2,32036
Montana,MT,Roosevelt,30085.0,314,712,11332,83.9,16888
Montana,MT,Rosebud,30087.0,250,959,9326,89.1,22229
Montana,MT,Sanders,30089.0,404,1992,11364,87.2,19188
Montana,MT,Sheridan,30091.0,171,499,3696,90.7,31378
Montana,MT,Silver Bow,30093.0,4089,2648,34680,90.9,23562
Montana,MT,Stillwater,30095.0,287,1658,9290,92.5,28868
Montana,MT,Sweet Grass,30097.0,107,707,3665,91.7,22743
Montana,MT,Teton,30099.0,374,882,6064,90.4,22799
Montana,MT,Toole,30101.0,129,863,5150,88.1,23162
Montana,MT,Treasure,30103.0,34,143,692,86.4,23948
Montana,MT,Valley,30105.0,344,1250,7640,91.0,25685
Montana,MT,Wheatland,30107.0,48,380,2102,80.4,17336
Montana,MT,Wibaux,30109.0,36,231,1121,84.0,27492
Montana,MT,Yellowstone,30111.0,7844,17925,155634,92.3,27761
Nebraska,NE,Adams,31001.0,177,2798,31457,90.7,25571
Nebraska,NE,Antelope,31003.0,27,772,6398,90.8,25186
Nebraska,NE,Arthur,31005.0,1,68,453,94.5,17656
Nebraska,NE,Banner,31007.0,4,108,764,91.3,25814
Nebraska,NE,Blaine,31009.0,4,99,504,99.0,19141
Nebraska,NE,Boone,31011.0,27,740,5353,93.1,25590
Nebraska,NE,Box Butte,31013.0,45,1188,11340,90.4,25046
Nebraska,NE,Boyd,31015.0,13,327,2033,91.6,23157
Nebraska,NE,Brown,31017.0,6,555,2941,91.2,21843
Nebraska,NE,Buffalo,31019.0,208,3748,48224,92.3,24830
Nebraska,NE,Burt,31021.0,54,603,6573,91.9,25203
Nebraska,NE,Butler,31023.0,25,910,8249,91.0,27673
Nebraska,NE,Cass,31025.0,132,1811,25524,94.0,29638
Nebraska,NE,Cedar,31027.0,20,775,8610,92.7,25738
Nebraska,NE,Chase,31029.0,16,476,3978,90.8,28241
Nebraska,NE,Cherry,31031.0,20,1220,5762,92.5,25213
Nebraska,NE,Cheyenne,31033.0,28,1130,10148,93.3,28296
Nebraska,NE,Clay,31035.0,12,702,6315,87.3,23876
Nebraska,NE,Colfax,31037.0,24,494,10504,70.4,23751
Nebraska,NE,Cuming,31039.0,34,783,9027,88.7,24496
Nebraska,NE,Custer,31041.0,20,1306,10728,92.6,24615
Nebraska,NE,Dakota,31043.0,76,819,20850,72.8,20179
Nebraska,NE,Dawes,31045.0,58,831,9042,93.5,21137
Nebraska,NE,Dawson,31047.0,39,1950,24096,75.8,20142
Nebraska,NE,Deuel,31049.0,2,274,1940,92.6,27199
Nebraska,NE,Dixon,31051.0,28,513,5782,86.1,23769
Nebraska,NE,Dodge,31053.0,205,2760,36744,86.0,24588
Nebraska,NE,Douglas,31055.0,5387,23754,543244,89.5,29180
Nebraska,NE,Dundy,31057.0,14,219,1886,93.7,28502
Nebraska,NE,Fillmore,31059.0,34,574,5661,92.5,25460
Nebraska,NE,Franklin,31061.0,11,333,3076,91.2,26095
Nebraska,NE,Frontier,31063.0,9,315,2705,94.7,25262
Nebraska,NE,Furnas,31065.0,12,546,4888,88.9,22068
Nebraska,NE,Gage,31067.0,175,1407,21663,90.2,24555
Nebraska,NE,Garden,31069.0,8,372,1911,93.4,26715
Nebraska,NE,Garfield,31071.0,0,227,2003,94.0,22092
Nebraska,NE,Gosper,31073.0,12,259,1970,94.3,23266
Nebraska,NE,Grant,31075.0,0,162,619,93.6,19968
Nebraska,NE,Greeley,31077.0,11,125,2482,92.8,23833
Nebraska,NE,Hall,31079.0,299,3818,61492,81.9,23380
Nebraska,NE,Hamilton,31081.0,23,1030,9135,93.4,26715
Nebraska,NE,Harlan,31083.0,13,436,3492,92.1,25322
Nebraska,NE,Hayes,31085.0,9,103,933,88.4,23749
Nebraska,NE,Hitchcock,31087.0,6,305,2901,92.9,23554
Nebraska,NE,Holt,31089.0,30,1302,10403,90.1,24120
Nebraska,NE,Hooker,31091.0,3,119,728,95.1,20737
Nebraska,NE,Howard,31093.0,43,534,6362,92.4,26770
Nebraska,NE,Jefferson,31095.0,41,533,7335,89.1,24777
Nebraska,NE,Johnson,31097.0,24,326,5185,87.9,19435
Nebraska,NE,Kearney,31099.0,34,614,6644,91.4,27796
Nebraska,NE,Keith,31101.0,40,1253,8121,92.0,25097
Nebraska,NE,Keya Paha,31103.0,4,203,810,92.0,25251
Nebraska,NE,Kimball,31105.0,8,439,3713,84.8,24565
Nebraska,NE,Knox,31107.0,25,642,8482,89.0,25214
Nebraska,NE,Lancaster,31109.0,4016,13251,301795,93.8,27141
Nebraska,NE,Lincoln,31111.0,182,3235,35815,91.5,26188
Nebraska,NE,Logan,31113.0,2,166,750,93.1,22799
Nebraska,NE,Loup,31115.0,5,101,588,93.0,21499
Nebraska,NE,Madison,31119.0,129,2280,35174,87.2,24593
Nebraska,NE,McPherson,31117.0,3,114,498,94.4,25339
Nebraska,NE,Merrick,31121.0,35,775,7766,90.7,24639
Nebraska,NE,Morrill,31123.0,13,695,4862,87.2,22543
Nebraska,NE,Nance,31125.0,14,310,3570,88.6,23684
Nebraska,NE,Nemaha,31127.0,35,472,7175,92.2,25269
Nebraska,NE,Nuckolls,31129.0,17,446,4369,93.0,22448
Nebraska,NE,Otoe,31131.0,76,1255,15797,91.9,25855
Nebraska,NE,Pawnee,31133.0,29,225,2702,87.1,25426
Nebraska,NE,Perkins,31135.0,16,331,2891,91.0,27931
Nebraska,NE,Phelps,31137.0,33,963,9187,94.2,26856
Nebraska,NE,Pierce,31139.0,10,617,7202,93.1,24830
Nebraska,NE,Platte,31141.0,128,2902,32666,88.6,24219
Nebraska,NE,Polk,31143.0,31,436,5271,93.6,27639
Nebraska,NE,Red Willow,31145.0,25,1178,10867,93.7,23320
Nebraska,NE,Richardson,31147.0,36,699,8128,92.4,23566
Nebraska,NE,Rock,31149.0,3,308,1443,91.9,24501
Nebraska,NE,Saline,31151.0,109,562,14252,83.4,20407
Nebraska,NE,Sarpy,31153.0,1099,9459,172193,94.9,30189
Nebraska,NE,Saunders,31155.0,104,1772,20919,93.3,30039
Nebraska,NE,Scotts Bluff,31157.0,123,2397,36465,87.1,23220
Nebraska,NE,Seward,31159.0,86,935,17150,91.9,28359
Nebraska,NE,Sheridan,31161.0,10,809,5259,89.8,22551
